id_movimiento,id_miembro,fecha,minuto,hora,importe,comercio,actividad_completa,actividad
30053,40,2005-03-28,11,16,73,LA VACA ARGENTINA,RESTAURANTES RESTO,RESTAURANTE
55589,80,2006-06-27,4,15,28,78,ASADOR CRUZ NEVADA,RESTAURANTES RESTO,RESTAURANTE
56355,80,2008-07-21,40,14,1,79,ACCESOS DE MADRID,AUTOPISTAS (TERMINALES),COCHE
14018,16,2007-01-14,1,16,29,69,OAM THONG,RESTAURANTES RESTO,RESTAURANTE
63577,61,2004-03-11,7,17,519,6,RESTAURANTE HORCHER,RESTAURANTE 4/5 TENEDORES NIVEL 2,RESTAURANTE
22909,29,2005-10-14,54,14,152,13,SUPERCOR EL ESCORIAL,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
18490,23,2005-05-29,24,14,81,19,A ZOKA,RESTAURANTES RESTO,RESTAURANTE
50565,73,2009-06-05,46,19,15,6,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
75080,75,2011-02-03,20,19,153,39,CALIN DIRECTO SL,LIBRERIAS, PAPELERIAS Y DISCOS,LIBRERIA
28705,36,2003-02-08,50,13,112,43,IZAMAR,RESTAURANTES RESTO,RESTAURANTE
13458,15,2009-12-01,59,8,5,09,E.S.VEGONES DER,C.A.M.P.S.A.,COCHE
12458,70,2006-11-12,55,15,10,64,MALLORCA,SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS,SUPERMERCADO
4845,4,2008-11-26,25,15,24,SPOR NURIA,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
20160,24,2009-05-29,42,17,229,RESTAURANTE PUERTA 57,RESTAURANTES RESTO,RESTAURANTE
68668,50,2007-01-01,59,15,49,9,,GRUPO ZARA,ROPA
48816,73,2004-12-21,52,17,33,06,PASTELERIAS MALLORCA (KE),SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS,SUPERMERCADO
39024,60,2007-12-13,41,16,41,A'CASA DE PONTEVEDRA,RESTAURANTES RESTO,RESTAURANTE
41490,65,2003-09-08,13,14,57,29,ESTACION SERVICIO GUIBE S,GASOLINERAS,COCHE
8214,6,2003-10-09,32,15,10,94,APARCAMIENTO CORTES,GARAJES APARCAMIENTOS NIVEL 4,COCHE
10432,8,2010-10-10,39,23,151,5,RESTAURANTE ALDUCCIO,RESTAURANTES RESTO,RESTAURANTE
61343,28,2006-02-20,4,14,1,64,ACCESOS DE MADRID,AUTOPISTAS (TERMINALES),COCHE
62527,28,2010-03-04,28,17,16,5,CINES VERDI MADRID,VENTA A DIST.DE PRODUCTOS AL POR MENOR,COMPRA BIENES
51366,77,2005-08-01,44,16,52,97,E S MONTECLARO S A,GASOLINERAS,COCHE
1306,2,2003-01-01,15,19,130,DENIS JR.,CONFECCION TEXTIL NIVEL 2,ROPA
52321,77,2009-10-26,57,8,55,58,SHELL POZUELO,GASOLINERAS,COCHE
22965,29,2006-01-05,18,17,124,4,RESTAURANTE LA VILLA,RESTAURANTES RESTO,RESTAURANTE
29864,40,2004-05-31,59,16,10,1,CAFE DE ORIENTE,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
5726,4,2010-07-25,12,19,250,DECORACION Y ARQUITECTURA,DECORACION Y ARQUITECTURA,COMPRA BIENES
70977,9,2008-06-12,54,18,551,19,GRUPO HOSPITALARIO QUIRON,HOSPITALES,SANATORIOS Y CONSULTAS MEDIC,SALUD
49502,73,2006-11-18,53,16,118,87,BODEGAS GALIANA,SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS,SUPERMERCADO
"71145,9,2009-06-09,24,15,-17,51,,""INSURANCE - SALES &amp; UNDERWRITING"",MISC"
60567,28,2003-07-21,33,15,90,08,0143-CONSUM VERGEL,HIPERMERCADOS (TECNOLOGIA ELECTRONICA),SUPERMERCADO
34297,42,2005-07-11,41,16,22,ESTACONES DE SERVICIO ML,GASOLINERAS,COCHE
6203,4,2011-11-02,41,18,5,69,TINTORERIA DIMAR,TINTORERIAS Y LAVANDERIAS,ROPA
20015,24,2007-11-20,55,16,268,7,RESTAURANTE EMAUS,RESTAURANTES RESTO,RESTAURANTE
55225,80,2005-06-29,40,15,70,75,CERVECERIA LA CUMBRE,RESTAURANTES RESTO,RESTAURANTE
59861,54,2009-04-06,23,16,396,EL CORTE INGLES,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
16269,19,2005-06-08,35,15,45,E.S. GUIROPA S.A.,GASOLINERAS,COCHE
11578,69,2004-08-25,33,15,67,55,IBERIA,LINEAS AEREAS,AVION
10963,12,2009-05-05,41,16,216,85,RTE TABERNA DEL PUERTO,RESTAURANTES RESTO,RESTAURANTE
11340,69,2003-02-17,33,22,130,94,SANXENXO S.A.,RESTAURANTE RESTO NIVEL 4,RESTAURANTE
39300,60,2008-10-18,19,11,28,79,CAFETERIA LA FLECHA,CAFETERIAS,SNACKS,RESTAURANTE
63239,76,2006-04-03,15,20,408,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
71959,10,2005-12-11,1,15,37,79,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
58158,81,2011-05-31,13,15,9,14,TAXI DE  MADRID LCA.12750,TAXIS,COCHE
54831,80,2004-04-06,27,15,159,RESTAURANTE LAS B B B,RESTAURANTES RESTO,RESTAURANTE
20445,24,2011-12-04,6,17,79,5,LA TAPA DEL BUXU, S.L.,CAFETERIAS,SNACKS,RESTAURANTE
28640,35,2011-07-27,22,20,600,,CAJEROS AUTOMATICOS,CA$H
30785,40,2007-09-05,43,22,76,29,RESTAURANTE LA VACA ARGEN,RESTAURANTES RESTO,RESTAURANTE
1344,2,2003-04-14,18,15,39,2,E.S.GESA CARBURANTES S.L.,GASOLINERAS,COCHE
27111,34,2003-04-10,57,16,111,34,HOTEL DE SUECIA, S.A.,HOTELES,MOTELES,BALNEARIOS,CAMPINGS REST,HOTEL
18601,23,2005-11-11,33,16,123,09,PORTOCARLO,RESTAURANTES RESTO,RESTAURANTE
44709,66,2006-12-04,6,17,160,89,GRAN CIRCULO,VENTA A DIST.DE PRODUCTOS AL POR MENOR,COMPRA BIENES
64004,61,2006-01-01,49,23,43,25,CEDIPSA SANTA MARTA,GASOLINERAS,COCHE
39702,60,2010-02-16,14,23,9,39,TAXIMADID LIC7754,TAXIS,COCHE
16703,20,2004-05-02,40,15,12,25,FNAC CALLAO,FNAC,LIBRERIA
25565,31,2003-08-07,36,15,60,65,JARDINERIA POSTIGO SL,FLORES Y PLANTAS,HOGAR
64454,61,2007-11-13,16,16,175,RESTAURANTE VIRIDIANA,RESTAURANTES RESTO,RESTAURANTE
14289,16,2008-07-22,33,15,44,EL RINCON DE JAEN,RESTAURANTES RESTO,RESTAURANTE
17812,21,2008-03-11,55,16,124,66,BOCALEON IBERICA SL,RESTAURANTES RESTO,RESTAURANTE
